"Minimum Installments Value","Valor Mínimo da Parcela"
"Maximum Installments Quantity","Quantidade Máxima de Parcelas"
"Exceeded minimum installments value","Valor mínimo de parcela excedido"
"%d x %s (without interest)","%d x %s (sem juros)"
"Installments","Parcelas"
"Invalid installments for card issuer","Parcelamento inválido para a bandeira selecionada"
"Exceeded installments","Parcelamento excedido!"
"Please, check your tax/vat number","CPF inválido! Verifique o Código de Pessoa Física."
"STATUS ","Situação não informada"
"STATUS 0","Criada"
"STATUS 1","Em Andamento"
"STATUS 2","Autenticada"
"STATUS 3","Não Autenticada"
"STATUS 4","Autorizada"
"STATUS 5","Não Autorizada"
"STATUS 6","Capturada"
"STATUS 9","Cancelada"
"STATUS 10","Em Autenticação"
"STATUS 12","Em Cancelamento"
"STATUS 99","Erro"
"ECI  ","ECI não informado"
"ECI 5 VISA","Portador autenticado com sucesso."
"ECI 6 VISA","Portador não realizou autenticação, pois o emissor não forneceu mecanismos de autenticação."
"ECI 7 VISA","O portador não se autenticou com sucesso, ou ocorreu um erro técnico inesperado."
"ECI 0 MASTERCARD","O portador não se autenticou com sucesso."
"ECI 1 MASTERCARD","O emissor não forneceu mecanismos de autenticação, ou ocorreu um erro técnico inesperado."
"ECI 2 MASTERCARD","Portador autenticado com sucesso."
"ECI 0 AURA","O cartão não possui programa de autenticação."
"ECI 7 DINERS","O cartão não possui programa de autenticação."
"ECI 7 DISCOVER","O cartão não possui programa de autenticação."
"ECI 7 ELO","O cartão não possui programa de autenticação."
"ECI 7 AMEX","O cartão não possui programa de autenticação."
"ECI 7 JCB","O cartão não possui programa de autenticação."
"LR ","LR Não informado"
"LR 00","Transação autorizada"
"LR 01","Transação referida pelo emissor"
"LR 02","Erro interno (LR 02)."
"LR 03","Erro interno (LR 03)."
"LR 04","Cartão com restrição"
"LR 05","Transação não autorizada"
"LR 06","Tente novamente"
"LR 07","Cartão com restrição"
"LR 08","Código de segurança inválido (o código pode sido preenchido incorretamente)"
"LR 09","Erro interno (LR 09)."
"LR 10","Não é permitido o envio do cartão"
"LR 11","Venda com parcelamento não habilitado"
"LR 12","Transação inválida"
"LR 13","Valor inválido"
"LR 14","Cartão inválido (o número do cartão ou a bandeira podem ter sido preenchidos incorretamente)"
"LR 15","Emissor inválido (a bandeira do cartão pode ter sido preenchida incorretamente)"
"LR 16","Erro interno (LR 16)."
"LR 17","Erro interno (LR 17)."
"LR 18","Erro interno (LR 18)."
"LR 19","Erro interno (LR 19)."
"LR 20","Erro interno (LR 20)."
"LR 21","Erro interno (LR 21)."
"LR 22","Erro interno (LR 22)."
"LR 23","Erro interno (LR 23)."
"LR 24","Erro interno (LR 24)."
"LR 25","Erro interno (LR 25)."
"LR 26","Erro interno (LR 26)."
"LR 27","Erro interno (LR 27)."
"LR 28","Erro interno (LR 28)."
"LR 29","Erro interno (LR 29)."
"LR 30","Erro interno (LR 30)."
"LR 31","Erro interno (LR 31)."
"LR 32","Erro interno (LR 32)."
"LR 33","Erro interno (LR 33)."
"LR 34","Erro interno (LR 34)."
"LR 35","Erro interno (LR 35)."
"LR 36","Erro interno (LR 36)."
"LR 37","Erro interno (LR 37)."
"LR 38","Erro interno (LR 38)."
"LR 39","Erro interno (LR 39)."
"LR 40","Erro interno (LR 40)."
"LR 41","Cartão com restrição"
"LR 42","Erro interno (LR 42)."
"LR 43","Erro interno (LR 43)."
"LR 44","Erro interno (LR 44)."
"LR 45","Erro interno (LR 45)."
"LR 46","Erro interno (LR 46)."
"LR 47","Erro interno (LR 47)."
"LR 48","Erro interno (LR 48)."
"LR 49","Erro interno (LR 49)."
"LR 50","Erro interno (LR 50)."
"LR 51","Saldo insuficiente (entrar em contato com o banco emissor do cartão)"
"LR 52","Erro interno (LR 52)."
"LR 53","Erro interno (LR 53)."
"LR 54","Cartão vencido (a data de vencimento pode ter sido preenchida incorretamente)"
"LR 55","Erro interno (LR 55)."
"LR 56","Erro interno (LR 56)."
"LR 57","Transação não permitida"
"LR 58","Transação não permitida"
"LR 59","Erro interno (LR 59)."
"LR 60","Contate o banco emissor do seu cartão para mais detalhes."
"LR 61","Erro interno (LR 61)."
"LR 62","Cartão com restrição"
"LR 63","Cartão com restrição"
"LR 64","Erro interno (LR 64)."
