"You can try again using another payment method: <a href='%s'>Try again</a>.","Você pode tentar novamente escolhendo outra forma de pagamento: <a href='%s'>Tentar novamente</a>."
"Minimum Installments Value","Valor Mínimo da Parcela"
"Maximum Installments Quantity","Quantidade Máxima de Parcelas"
"Exceeded minimum installments value","Valor mínimo de parcela excedido"
"%d x %s (without interest)","%d x %s (sem juros)"
"Installments","Parcelas"
"Invalid installments for card issuer","Parcelamento inválido para a bandeira selecionada"
"Exceeded installments","Parcelamento excedido!"
"Please, check your tax/vat number","CPF inválido! Verifique o Código de Pessoa Física."
"STATUS ","Situação não informada"
"STATUS 0","Criada"
"STATUS 1","Em Andamento"
"STATUS 2","Autenticada"
"STATUS 3","Não Autenticada"
"STATUS 4","Autorização em Análise"
"STATUS 5","Não Autorizada"
"STATUS 6","Capturada"
"STATUS 9","Cancelada"
"STATUS 10","Em Autenticação"
"STATUS 12","Em Cancelamento"
"STATUS 99","Erro"
"ECI  ","ECI não informado"
"ECI 5 VISA","Portador autenticado com sucesso."
"ECI 6 VISA","Portador não realizou autenticação, pois o emissor não forneceu mecanismos de autenticação."
"ECI 7 VISA","O portador não se autenticou com sucesso, ou ocorreu um erro técnico inesperado."
"ECI 0 MASTERCARD","O portador não se autenticou com sucesso."
"ECI 1 MASTERCARD","O emissor não forneceu mecanismos de autenticação, ou ocorreu um erro técnico inesperado."
"ECI 2 MASTERCARD","Portador autenticado com sucesso."
"ECI 0 AURA","O cartão não possui programa de autenticação."
"ECI 7 DINERS","O cartão não possui programa de autenticação."
"ECI 7 DISCOVER","O cartão não possui programa de autenticação."
"ECI 7 ELO","O cartão não possui programa de autenticação."
"ECI 7 AMEX","O cartão não possui programa de autenticação."
"ECI 7 JCB","O cartão não possui programa de autenticação."
"LR ","LR Não informado"
"LR 00","Transação autorizada"
"LR 01","Contate o banco emissor do seu cartão para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 02","Erro interno (LR 02). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 03","Erro interno (LR 03). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 04","Certifique-se de que seu cartão está liberado para compras online autenticadas. Você pode tentar novamente, ou escolher outra forma de pagamento."
"LR 05","Certifique-se de que seu cartão está liberado para compras online autenticadas. Contate o banco emissor do seu cartão para mais detalhes. Você pode tentar novamente, ou escolher outra forma de pagamento."
"LR 06","Ocorreu uma falha durante a comunicação com o meio de pagamento. Tente novamente em alguns instantes."
"LR 07","Certifique-se de que seu cartão está liberado para compras online autenticadas. Contate o banco emissor do seu cartão para mais detalhes."
"LR 08","Certifique-se de que os dados do cartão estão corretos. Você pode tentar novamente, ou escolher outra forma de pagamento."
"LR 09","Erro interno (LR 09). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 10","Erro interno (LR 10). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 11","Erro interno (LR 11). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 12","Erro interno (LR 12). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 13","Erro interno (LR 13). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 14","Certifique-se de que os dados do cartão estão corretos (o número do cartão ou bandeira podem estar incorretos). Você pode tentar novamente, ou escolher outra forma de pagamento."
"LR 15","Banco emissor indisponível. Você pode tentar novamente em alguns instantes, ou escolher outra forma de pagamento."
"LR 16","Erro interno (LR 16). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 17","Erro interno (LR 17). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 18","Erro interno (LR 18). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 19","Erro interno (LR 19). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 20","Erro interno (LR 20). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 21","Erro interno (LR 21). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 22","Erro interno (LR 22). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 23","Erro interno (LR 23). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 24","Erro interno (LR 24). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 25","Erro interno (LR 25). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 26","Erro interno (LR 26). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 27","Erro interno (LR 27). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 28","Erro interno (LR 28). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 29","Erro interno (LR 29). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 30","Erro interno (LR 30). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 31","Erro interno (LR 31). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 32","Erro interno (LR 32). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 33","Erro interno (LR 33). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 34","Erro interno (LR 34). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 35","Erro interno (LR 35). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 36","Erro interno (LR 36). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 37","Erro interno (LR 37). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 38","Erro interno (LR 38). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 39","Erro interno (LR 39). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 40","Erro interno (LR 40). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 41","Certifique-se de que seu cartão está liberado para compras online autenticadas. Contate o banco emissor do seu cartão para mais detalhes. Você pode tentar novamente, ou escolher outra forma de pagamento."
"LR 42","Erro interno (LR 42). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 43","Erro interno (LR 43). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 44","Erro interno (LR 44). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 45","Erro interno (LR 45). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 46","Erro interno (LR 46). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 47","Erro interno (LR 47). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 48","Erro interno (LR 48). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 49","Erro interno (LR 49). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 50","Erro interno (LR 50). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 51","Contate o banco emissor do seu cartão para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 52","Erro interno (LR 52). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 53","Erro interno (LR 53). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 54","Certifique-se de que os dados do cartão estão corretos (a data de validade pode estar incorreta). Você pode tentar novamente, ou escolher outra forma de pagamento."
"LR 55","Erro interno (LR 55). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 56","Erro interno (LR 56). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 57","Certifique-se de que seu cartão está liberado para compras online autenticadas. Contate o banco emissor do seu cartão para mais detalhes. Você pode tentar novamente, ou escolher outra forma de pagamento."
"LR 58","Certifique-se de que seu cartão está liberado para compras online autenticadas. Contate o banco emissor do seu cartão para mais detalhes. Você pode tentar novamente, ou escolher outra forma de pagamento."
"LR 59","Erro interno (LR 59). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 60","Contate o banco emissor do seu cartão para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 61","Erro interno (LR 61). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 62","Contate o banco emissor do seu cartão para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 63","Contate o banco emissor do seu cartão para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 64","Erro interno (LR 64). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 65","Erro interno (LR 65). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 66","Erro interno (LR 66). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 67","Erro interno (LR 67). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 68","Erro interno (LR 68). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 69","Erro interno (LR 69). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 70","Erro interno (LR 70). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 71","Erro interno (LR 71). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 72","Erro interno (LR 72). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 73","Erro interno (LR 73). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 74","Erro interno (LR 74). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 75","Erro interno (LR 75). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 76","Erro interno (LR 76). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 77","Erro interno (LR 77). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 78","Certifique-se de que seu cartão está liberado para compras online autenticadas. Contate o banco emissor do seu cartão para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 79","Erro interno (LR 79). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 80","Erro interno (LR 80). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 81","Erro interno (LR 81). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 82","Certifique-se de que os dados do cartão estão corretos (o número do cartão pode estar incorreto). Você pode tentar novamente, ou escolher outra forma de pagamento."
"LR 83","Erro interno (LR 83). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 84","Erro interno (LR 84). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 85","Erro interno (LR 85). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 86","Erro interno (LR 86). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 87","Erro interno (LR 87). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 88","Erro interno (LR 88). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 89","Erro interno (LR 89). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 90","Erro interno (LR 90). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 91","Banco emissor indisponível. Você pode tentar novamente em alguns instantes, ou escolher outra forma de pagamento."
"LR 92","Erro interno (LR 92). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 93","Erro interno (LR 93). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 94","Erro interno (LR 94). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 95","Erro interno (LR 95). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 96","Ocorreu uma falha durante a comunicação com o meio de pagamento. Tente novamente em alguns instantes."
"LR 97","Erro interno (LR 97). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 98","Erro interno (LR 98). Entre em contato com a loja para mais detalhes. Você pode concluir a compra escolhendo outra forma de pagamento."
"LR 99","Banco emissor indisponível. Você pode tentar novamente em alguns instantes, ou escolher outra forma de pagamento."
"LR AA","Banco emissor indisponível. Você pode tentar novamente em alguns instantes, ou escolher outra forma de pagamento."
"LR AC","Cartão de débito tentando utilizar produto crédito"
